x 	y_calc 	y_exac 	err (%) 
0	1	1	0
0.05	0.9524	0.9512	0.1211
0.1	0.907	0.9048	0.2423
0.15	0.8638	0.8607	0.3636
0.2	0.8227	0.8187	0.4851
0.25	0.7835	0.7788	0.6068
0.3	0.7462	0.7408	0.7285
0.35	0.7107	0.7047	0.8505
0.4	0.6768	0.6703	0.9726
0.45	0.6446	0.6376	1.095
0.5	0.6139	0.6065	1.217
0.55	0.5847	0.5769	1.34
0.6	0.5568	0.5488	1.462
0.65	0.5303	0.522	1.585
0.7	0.5051	0.4966	1.708
0.75	0.481	0.4724	1.831
0.8	0.4581	0.4493	1.955
0.85	0.4363	0.4274	2.078
0.9	0.4155	0.4066	2.202
0.95	0.3957	0.3867	2.325
1	0.3769	0.3679	2.449
